human_hedge_rate,human_hedge_count,human_booster_rate,human_booster_count,human_negation_rate,human_negation_count,human_epistemic_rate,human_epistemic_count,human_discourse_particle_rate,human_discourse_particle_count,human_negation_sentence_rate,human_n_alpha_tokens,human_n_sentences,llm_hedge_rate,llm_hedge_count,llm_booster_rate,llm_booster_count,llm_negation_rate,llm_negation_count,llm_epistemic_rate,llm_epistemic_count,llm_discourse_particle_rate,llm_discourse_particle_count,llm_negation_sentence_rate,llm_n_alpha_tokens,llm_n_sentences
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3,3.0303030303030303,1,0.0,0,6.0606060606060606,2,0.0,0,3.0303030303030303,1,0.5,33,2
2.4691358024691357,2,0.0,0,1.2345679012345678,1,0.0,0,0.0,0,0.5,81,2,2.7777777777777777,2,0.0,0,1.3888888888888888,1,0.0,0,0.0,0,0.16666666666666666,72,6
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,3,3.9215686274509802,2,0.0,0,3.9215686274509802,2,0.0,0,3.9215686274509802,2,0.2,51,5
0.0,0,0.0,0,14.285714285714286,1,0.0,0,0.0,0,0.5,7,2,3.3333333333333335,2,0.0,0,1.6666666666666667,1,0.0,0,0.0,0,0.16666666666666666,60,6
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1,3.508771929824561,2,1.7543859649122806,1,5.2631578947368425,3,0.0,0,0.0,0,0.25,57,4
0.0,0,0.0,0,7.142857142857143,1,0.0,0,0.0,0,0.5,14,2,0.0,0,1.694915254237288,1,1.694915254237288,1,0.0,0,0.0,0,0.25,59,4
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1,2.0408163265306123,1,2.0408163265306123,1,2.0408163265306123,1,0.0,0,0.0,0,0.3333333333333333,49,3
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,2,1.694915254237288,1,1.694915254237288,1,3.389830508474576,2,0.0,0,0.0,0,0.5,59,4
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2,0.0,0,0.0,0,1.7857142857142858,1,3.5714285714285716,2,1.7857142857142858,1,0.2,56,5
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,2,4.166666666666667,3,0.0,0,1.3888888888888888,1,1.3888888888888888,1,2.7777777777777777,2,0.16666666666666666,72,6
0.0,0,0.0,0,0.0,0,0.0,0,7.142857142857143,2,0.0,28,3,4.375,7,2.5,4,2.5,4,0.625,1,1.875,3,0.4,160,10
0.0,0,0.0,0,4.761904761904762,2,0.0,0,0.0,0,0.4,42,5,1.7857142857142858,3,1.1904761904761905,2,2.9761904761904763,5,0.0,0,0.5952380952380952,1,0.3333333333333333,168,12
0.0,0,0.0,0,0.0,0,0.0,0,1.7857142857142858,1,0.0,56,3,1.744186046511628,3,0.5813953488372093,1,2.3255813953488373,4,0.5813953488372093,1,1.744186046511628,3,0.3333333333333333,172,12
0.0,0,0.0,0,11.11111111111111,1,0.0,0,0.0,0,1.0,9,1,1.694915254237288,3,1.1299435028248588,2,1.694915254237288,3,1.1299435028248588,2,1.1299435028248588,2,0.13333333333333333,177,15
2.127659574468085,1,0.0,0,2.127659574468085,1,0.0,0,4.25531914893617,2,0.3333333333333333,47,3,1.6216216216216217,3,1.0810810810810811,2,2.1621621621621623,4,0.0,0,1.6216216216216217,3,0.15384615384615385,185,13
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1,1.4492753623188406,1,0.0,0,1.4492753623188406,1,0.0,0,1.4492753623188406,1,0.2,69,5
0.0,0,0.0,0,8.333333333333334,1,0.0,0,0.0,0,0.5,12,2,3.508771929824561,2,0.0,0,0.0,0,0.0,0,1.7543859649122806,1,0.0,57,4
0.0,0,0.0,0,14.285714285714286,1,0.0,0,0.0,0,1.0,7,1,1.9607843137254901,2,0.0,0,1.9607843137254901,2,0.0,0,1.9607843137254901,2,0.4,102,5
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,1,0.8771929824561403,1,0.8771929824561403,1,0.8771929824561403,1,0.0,0,1.7543859649122806,2,0.125,114,8
7.142857142857143,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1,2.3076923076923075,3,0.0,0,1.5384615384615385,2,0.0,0,0.0,0,0.2857142857142857,130,7
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1,1.1235955056179776,1,1.1235955056179776,1,1.1235955056179776,1,0.0,0,2.247191011235955,2,0.2,89,5
0.0,0,0.0,0,0.0,0,8.333333333333334,1,0.0,0,0.0,12,1,1.6129032258064515,2,0.8064516129032258,1,2.4193548387096775,3,0.0,0,1.6129032258064515,2,0.125,124,8
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1,6.382978723404255,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,47,2
0.0,0,0.0,0,11.11111111111111,1,0.0,0,0.0,0,0.5,9,2,4.545454545454546,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44,2
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,1,6.122448979591836,3,0.0,0,2.0408163265306123,1,0.0,0,4.081632653061225,2,0.3333333333333333,49,3
16.666666666666668,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,2,7.894736842105263,3,2.6315789473684212,1,0.0,0,0.0,0,0.0,0,0.0,38,3
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1,5.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40,2
14.285714285714286,1,0.0,0,0.0,0,0.0,0,14.285714285714286,1,0.0,7,1,2.2222222222222223,1,0.0,0,0.0,0,0.0,0,6.666666666666667,3,0.0,45,3
6.25,1,0.0,0,0.0,0,0.0,0,6.25,1,0.0,16,3,0.0,0,0.0,0,0.0,0,0.0,0,4.545454545454546,2,0.0,44,3
0.0,0,0.0,0,7.6923076923076925,1,0.0,0,0.0,0,0.5,13,2,3.3333333333333335,1,0.0,0,10.0,3,0.0,0,6.666666666666667,2,0.6666666666666666,30,3
0.0,0,0.0,0,3.225806451612903,1,0.0,0,0.0,0,0.3333333333333333,31,3,0.0,0,0.0,0,2.3255813953488373,1,0.0,0,2.3255813953488373,1,0.3333333333333333,43,3
0.0,0,0.0,0,3.3333333333333335,1,0.0,0,3.3333333333333335,1,1.0,30,1,2.0,1,0.0,0,0.0,0,0.0,0,4.0,2,0.0,50,4
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,2,2.0408163265306123,1,2.0408163265306123,1,2.0408163265306123,1,0.0,0,0.0,0,0.25,49,4
7.142857142857143,1,0.0,0,14.285714285714286,2,0.0,0,0.0,0,1.0,14,1,0.0,0,0.0,0,2.0,1,0.0,0,2.0,1,0.3333333333333333,50,3
7.6923076923076925,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,2,0.8,1,0.0,0,1.6,2,0.0,0,0.0,0,0.25,125,8
0.0,0,0.0,0,4.166666666666667,1,0.0,0,0.0,0,1.0,24,1,3.0303030303030303,3,0.0,0,1.0101010101010102,1,0.0,0,0.0,0,0.16666666666666666,99,6
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,2,3.0927835051546393,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,97,5
4.761904761904762,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,4,4.137931034482759,6,0.0,0,0.6896551724137931,1,0.0,0,1.3793103448275863,2,0.16666666666666666,145,6
1.2048192771084338,1,1.2048192771084338,1,1.2048192771084338,1,2.4096385542168677,2,1.2048192771084338,1,0.25,83,4,1.3986013986013985,2,0.0,0,0.6993006993006993,1,0.0,0,0.6993006993006993,1,0.125,143,8
