Test,Feature_family,Purpose of Test,Example,GPT-5.2 | Informal | Baseline,GPT-5.2 | Informal | P1 Human-like,GPT-5.2 | Informal | P2 Detector-aware,GPT-5.2 | Informal | P3 Detector-evasive,GPT-5.2 | Formal | Baseline,GPT-5.2 | Formal | P1 Human-like,GPT-5.2 | Formal | P2 Detector-aware,GPT-5.2 | Formal | P3 Detector-evasive,Mistral | Informal | Baseline,Mistral | Informal | P1 Human-like,Mistral | Informal | P2 Detector-aware,Mistral | Informal | P3 Detector-evasive,Mistral | Formal | Baseline,Mistral | Formal | P1 Human-like,Mistral | Formal | P2 Detector-aware,Mistral | Formal | P3 Detector-evasive,Key Findings,N_informal,N_formal,Link to csv file,Link to python script
Periods /100tok,stylometric_surface,Sentence-final density (short vs long sentences),short: 'Ja. Precis. Instämmer.',-0.29*,-0.30*,-0.27*,+0.20*,-0.87*,-0.97*,-0.46*,+2.32*,-0.26*,-0.27*,-0.24*,+0.13*,-0.28*,-0.43*,+1.12*,+1.80*,Largest gap GPT-5.2·Formal·P3 Detector-evasive dz=+2.32 (model>human); significant in 16/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
MTLD (lexical diversity),stylometric_surface,Lexical diversity robust to length,varied vocab vs 'bra bra bra',+0.33*,+0.72*,+0.70*,+0.80*,+1.43*,+1.51*,+1.80*,-0.83*,-0.02,-0.06,-0.16*,-0.19*,+0.45*,+0.78*,+1.03*,-0.33*,Largest gap GPT-5.2·Formal·P2 Detector-aware dz=+1.80 (model>human); significant in 14/16 cells,963,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Commas /100tok,stylometric_surface,Clause segmentation / list style,,+0.18*,+0.29*,+0.36*,-0.23*,+1.67*,+1.55*,+1.55*,-0.27*,+0.21*,+0.21*,+0.39*,-0.14,+1.78*,+1.30*,+0.63*,-0.22*,Largest gap Mistral·Formal·Baseline dz=+1.78 (model>human); significant in 15/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Type-token ratio,stylometric_surface,Lexical diversity (unique/total words),,-0.76*,-1.17*,-1.18*,-0.89*,+0.54*,-0.29*,-0.13,-1.67*,-1.04*,-1.41*,-1.59*,-1.24*,+0.22*,+0.01,+0.54*,-0.19*,Largest gap GPT-5.2·Formal·P3 Detector-evasive dz=-1.67 (model<human); significant in 14/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
MATTR,stylometric_surface,Moving-average TTR (length-robust diversity),,-0.76*,-0.72*,-0.76*,-0.58*,+1.22*,+1.13*,+1.35*,-0.45*,-1.08*,-1.35*,-1.51*,-1.26*,+0.46*,+0.74*,+0.98*,-0.29*,Largest gap Mistral·Informal·P2 Detector-aware dz=-1.51 (model<human); significant in 16/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Bigram repetition,stylometric_surface,Repeated 2-grams; LLMs often repeat phrasing,,+0.28*,+0.55*,+0.49*,+0.22*,-0.74*,-0.40*,-0.69*,+1.31*,+0.76*,+0.95*,+1.02*,+0.74*,-0.17,-0.19*,-0.59*,+0.44*,Largest gap GPT-5.2·Formal·P3 Detector-evasive dz=+1.31 (model>human); significant in 15/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Function-word rate,stylometric_surface,Share of grammatical function words; stylometric fingerprint,"att, och, en, som, det",+0.15*,-0.09*,+0.00*,-0.26*,-0.87*,-0.51*,-0.10,+0.10,+0.55*,+0.65*,+0.80*,+0.61*,-1.16*,-0.49*,-0.36*,-1.09*,Largest gap Mistral·Formal·Baseline dz=-1.16 (model<human); significant in 14/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Trigram repetition,stylometric_surface,Repeated 3-grams; verbatim self-repetition,,-0.01,+0.04*,-0.00*,-0.05,-0.63*,-0.53*,-0.72*,+0.88*,+0.41*,+0.53*,+0.56*,+0.40*,-0.28*,-0.36*,-0.57*,+0.30*,Largest gap GPT-5.2·Formal·P3 Detector-evasive dz=+0.88 (model>human); significant in 14/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Dashes /100tok,stylometric_surface,Dash usage (an LLM stylistic tell),'det var - typ - konstigt',+0.31*,+0.77*,+0.50*,+0.17*,+0.53*,+0.71*,+0.56*,-0.16,+0.56*,+0.57*,+0.39*,+0.20*,+0.32*,+0.52*,+0.63*,-0.09,Largest gap GPT-5.2·Informal·P1 Human-like dz=+0.77 (model>human); significant in 14/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Semicolons /100tok,stylometric_surface,Formal clause linking,,-0.09,-0.11*,-0.11*,-0.12*,-0.45*,-0.44*,-0.41*,-0.44*,-0.11*,-0.12*,-0.11*,-0.11*,-0.46*,-0.46*,-0.45*,-0.42*,Largest gap Mistral·Formal·Baseline dz=-0.46 (model<human); significant in 15/16 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
